author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
МЖК-РИЭЛТ,real_estate_agent,https://www.cian.ru/sale/flat/301154263/,Москва,sale,flat,2,14,1,36.2,-1,0,9000000.0,Савёлки,Зеленоград,к503,Зеленоград — Крюково,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/300733928/,Москва,sale,flat,5,17,1,37.61,-1,0,9000000.0,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,Царицыно-2
Октябрьская,real_estate_agent,https://www.cian.ru/sale/flat/291599758/,Москва,sale,flat,4,17,1,35.0,-1,0,9000000.0,Молжаниновский,Северный ао,к1,Хлебниково,Молжаниново ЖК
Финист,real_estate_agent,https://www.cian.ru/sale/flat/288000643/,Москва,sale,flat,8,9,1,38.3,-1,0,9000000.0,Орехово-Борисово Южное,Елецкая ,31к1,Зябликово,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/299359355/,Москва,sale,flat,16,17,1,37.2,-1,0,9000000.0,, 3-я Нововатутинская,9,Коммунарка,"Новые Ватутинки, мкр. Центральный"
Виталий Русаков,realtor,https://www.cian.ru/sale/flat/297929393/,Москва,sale,flat,14,17,1,42.3,-1,0,9000000.0,Южное Бутово, Маршала Савицкого,16,Щербинка,
Светлана Данилушкина,realtor,https://www.cian.ru/sale/flat/300794076/,Москва,sale,flat,11,17,1,40.0,-1,0,9000000.0,, Спортивная,13,Щербинка,
Ольга Шевелева,realtor,https://www.cian.ru/sale/flat/300786223/,Москва,sale,flat,12,17,1,46.2,-1,0,9000000.0,,,6,Остафьево,Новомосковский
Ольга Савушкина,realtor,https://www.cian.ru/sale/flat/301017878/,Москва,sale,flat,6,9,1,34.1,-1,0,9000000.0,, Золотошвейная,2,Филатов Луг,Цветочные Поляны
Светлана Золотарева,realtor,https://www.cian.ru/sale/flat/300790058/,Москва,sale,flat,1,9,1,35.4,-1,0,9100000.0,Дмитровский, Софьи Ковалевской,2К1,Яхромская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301103640/,Москва,sale,flat,6,17,1,37.9,-1,0,9195233.0,Внуково, Изваринская,1,Аэропорт Внуково,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298802036/,Москва,sale,flat,13,17,1,37.9,-1,0,9100000.0,Южное Бутово, Адмирала Лазарева,61,Бунинская аллея,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300992233/,Москва,sale,flat,3,14,1,35.5,-1,0,9100000.0,Ярославский, Вешних Вод,8К3,ВДНХ,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301354543/,Москва,sale,flat,16,16,1,34.9,-1,0,9100000.0,Люблино,Краснодарская ,65/18к1,Люблино,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/297769405/,Москва,sale,flat,2,25,1,36.1,-1,0,9198000.0,Люблино,Люблинская ,,Люблино,Светлый мир Станция Л
Светлана Ким,realtor,https://www.cian.ru/sale/flat/296980421/,Москва,sale,flat,1,14,1,40.0,-1,0,9100000.0,, Харлампиева,46,Филатов Луг,Спортивный квартал
Александр Мазур,realtor,https://www.cian.ru/sale/flat/299016407/,Москва,sale,flat,9,14,1,38.0,-1,0,9150000.0,Новокосино,Новокосинская ,11К2,Новокосино,
Евгения Князева,realtor,https://www.cian.ru/sale/flat/300887720/,Москва,sale,flat,5,9,1,32.0,-1,0,9100000.0,Богородское,Краснобогатырская ,75К1,Преображенская площадь,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/294441452/,Москва,sale,flat,12,14,1,30.0,-1,0,9100000.0,,проспект Куприна,38к1,Бунинская аллея,Эко Бунино
Дмитрий Филимонов,realtor,https://www.cian.ru/sale/flat/301421053/,Москва,sale,flat,11,17,1,37.7,-1,0,9100000.0,Бирюлево Западное,Харьковский проезд,9К1,Пражская,
Андрей Корчуганов,realtor,https://www.cian.ru/sale/flat/270405815/,Москва,sale,flat,8,17,1,37.7,-1,0,9100000.0,Братеево, Борисовские Пруды,46К2,Алма-Атинская,
Елена Стометова,realtor,https://www.cian.ru/sale/flat/296531901/,Москва,sale,flat,8,12,1,42.35,-1,0,9100000.0,,,50,Силикатная,
Елена Климова,realtor,https://www.cian.ru/sale/flat/300241635/,Москва,sale,flat,7,9,1,34.3,-1,0,9100000.0,,проспект Куприна,38к1,Бунинская аллея,Эко Бунино
ГЦН ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/298696310/,Москва,sale,flat,12,12,1,41.0,-1,0,9200000.0,Косино-Ухтомский, Рудневка,18,Лухмановская,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296836945/,Москва,sale,flat,11,12,1,41.0,-1,0,9200000.0,Люблино, Маршала Баграмяна,8,Люблино,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/300423409/,Москва,sale,flat,3,16,1,34.1,-1,0,9200000.0,Текстильщики,Грайвороновская ,15,Нижегородская,
