author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299463189/,Москва,sale,flat,9,9,2,44.2,-1,0,14900000.0,Головинский,Ленинградское шоссе,78,Речной вокзал,
Level Group,developer,https://www.cian.ru/sale/flat/301743446/,Москва,sale,flat,2,64,2,36.5,-1,0,14808337.0,Хорошево-Мневники,,,Хорошёвская,Левел Звенигородская ЖК
АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/298841043/,Москва,sale,flat,11,17,2,46.6,-1,0,14900000.0,,бульвар Скандинавский,19,Бульвар Адмирала Ушакова,Скандинавия
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299969458/,Москва,sale,flat,9,12,2,59.6,-1,0,14800000.0,Молжаниновский,Ленинградское шоссе,228к7,Молжаниново,1-й Ленинградский
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301481391/,Москва,sale,flat,1,5,2,43.0,-1,0,14890000.0,Филевский парк,Сеславинская ,2,Багратионовская,
Анна Уткина,realtor,https://www.cian.ru/sale/flat/299659010/,Москва,sale,flat,5,9,2,40.0,-1,0,14900000.0,Марфино,Гостиничный проезд,4,Окружная,
ID 75089457,unknown,https://www.cian.ru/sale/flat/300774268/,Москва,sale,flat,9,12,2,40.0,-1,0,14900000.0,Котловка,Нахимовский проспект,25К3,Нахимовский проспект,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/298891167/,Москва,sale,flat,3,19,2,63.8,-1,0,15094293.0,,,,Новопеределкино,Первый Московский ЖК
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300839614/,Москва,sale,flat,14,14,2,45.0,-1,0,15000000.0,Чертаново Южное,Чертановская ,49К1,Пражская,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300471635/,Москва,sale,flat,3,16,2,56.0,-1,0,15000000.0,Северное Бутово,бульвар Дмитрия Донского,18/4,Бульвар Дмитрия Донского,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169100/,Москва,sale,flat,2,15,2,44.8,-1,0,15000000.0,Можайский,Верейская ,41с4,Давыдково,Верейская 41
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301489334/,Москва,sale,flat,7,9,2,38.0,-1,0,14990000.0,Марфино, Академика Комарова,14А,Фонвизинская,
Концерн Русич,developer,https://www.cian.ru/sale/flat/300312926/,Москва,sale,flat,8,17,2,48.0,-1,0,14968800.0,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
